Airport Name;IATA Code;City
Hartsfield-Jackson Atlanta International Airport;ATL;Atlanta
Beijing Capital International Airport;PEK;Beijing
Dubai International Airport;DXB;Dubai
Los Angeles International Airport;LAX;Los Angeles
Tokyo Haneda International Airport;HND;Tokyo
O’Hare International Airport;ORD;Chicago
London Heathrow Airport;LHR;London
Hong Kong International Airport;HKG;Hong Kong
Shanghai Pudong International Airport;PVG;Shanghai
Paris-Charles de Gaulle Airport;CDG;Paris
Amsterdam Airport Schiphol;AMS;Amsterdam
Frankfurt Airport;FRA;Frankfurt
Dallas/Fort Worth International Airport;DFW;Dallas/Fort Worth
Guangzhou Baiyun International Airport;CAN;Guangzhou
Incheon International Airport;ICN;Seoul
Singapore Changi Airport;SIN;Singapore
Denver International Airport;DEN;Denver
Suvarnabhumi Airport;BKK;Bangkok
John F. Kennedy International Airport;JFK;New York City
San Francisco International Airport;SFO;San Francisco
Madrid-Barajas Airport;MAD;Madrid
McCarran International Airport;LAS;Las Vegas
Seattle-Tacoma International Airport;SEA;Seattle
Charlotte Douglas International Airport;CLT;Charlotte
Miami International Airport;MIA;Miami
Phoenix Sky Harbor International Airport;PHX;Phoenix
Orlando International Airport;MCO;Orlando
George Bush Intercontinental Airport;IAH;Houston
Munich Airport;MUC;Munich
Narita International Airport;NRT;Tokyo
Toronto Pearson International Airport;YYZ;Toronto
Barcelona–El Prat Airport;BCN;Barcelona
Chhatrapati Shivaji Maharaj International Airport;BOM;Mumbai
Indira Gandhi International Airport;DEL;Delhi
Leonardo da Vinci–Fiumicino Airport;FCO;Rome
Benito Juárez International Airport;MEX;Mexico City
Ninoy Aquino International Airport;MNL;Manila
Sheremetyevo International Airport;SVO;Moscow
Sydney Airport;SYD;Sydney
Vancouver International Airport;YVR;Vancouver
Zürich Airport;ZRH;Zurich
